source_package,experiment_id,model_id,policy_id,n
qwen_108,model_family_generalization,qwen3.5:4b,P1,18
qwen_108,model_family_generalization,qwen3.5:4b,P2,18
qwen_108,model_family_generalization,qwen3.5:4b,P3,18
qwen_108,model_family_generalization,qwen3.5:4b,P4,18
qwen_108,model_family_generalization,qwen3.5:4b,P5,18
qwen_108,model_family_generalization,qwen3.5:4b,P6,18
reliability_resumable,constraint_conflict_stress,gemma3:1b,P1,396
reliability_resumable,constraint_conflict_stress,gemma3:270m,P1,396
reliability_resumable,constraint_conflict_stress,llama3.1:8b,P1,396
reliability_resumable,model_family_generalization,gemma3:1b,P1,18
reliability_resumable,model_family_generalization,gemma3:1b,P2,18
reliability_resumable,model_family_generalization,gemma3:1b,P3,18
reliability_resumable,model_family_generalization,gemma3:1b,P4,18
reliability_resumable,model_family_generalization,gemma3:1b,P5,18
reliability_resumable,model_family_generalization,gemma3:1b,P6,18
reliability_resumable,model_family_generalization,gemma3:270m,P1,18
reliability_resumable,model_family_generalization,gemma3:270m,P2,18
reliability_resumable,model_family_generalization,gemma3:270m,P3,18
reliability_resumable,model_family_generalization,gemma3:270m,P4,18
reliability_resumable,model_family_generalization,gemma3:270m,P5,18
reliability_resumable,model_family_generalization,gemma3:270m,P6,18
reliability_resumable,model_family_generalization,llama3.1:8b,P1,18
reliability_resumable,model_family_generalization,llama3.1:8b,P2,18
reliability_resumable,model_family_generalization,llama3.1:8b,P3,18
reliability_resumable,model_family_generalization,llama3.1:8b,P4,18
reliability_resumable,model_family_generalization,llama3.1:8b,P5,18
reliability_resumable,model_family_generalization,llama3.1:8b,P6,18
reliability_resumable,policy_complexity,gemma3:1b,L1,18
reliability_resumable,policy_complexity,gemma3:1b,L2,18
reliability_resumable,policy_complexity,gemma3:1b,L3,18
reliability_resumable,policy_complexity,gemma3:1b,L4,18
reliability_resumable,policy_complexity,gemma3:1b,L5,18
reliability_resumable,policy_complexity,gemma3:1b,L6,18
reliability_resumable,policy_complexity,gemma3:270m,L1,18
reliability_resumable,policy_complexity,gemma3:270m,L2,18
reliability_resumable,policy_complexity,gemma3:270m,L3,18
reliability_resumable,policy_complexity,gemma3:270m,L4,18
reliability_resumable,policy_complexity,gemma3:270m,L5,18
reliability_resumable,policy_complexity,gemma3:270m,L6,18
reliability_resumable,policy_complexity,llama3.1:8b,L1,18
reliability_resumable,policy_complexity,llama3.1:8b,L2,18
reliability_resumable,policy_complexity,llama3.1:8b,L3,18
reliability_resumable,policy_complexity,llama3.1:8b,L4,18
reliability_resumable,policy_complexity,llama3.1:8b,L5,18
reliability_resumable,policy_complexity,llama3.1:8b,L6,18
reliability_resumable,prompt_robustness,gemma3:1b,P1,180
reliability_resumable,prompt_robustness,gemma3:1b,P2,180
reliability_resumable,prompt_robustness,gemma3:1b,P3,180
reliability_resumable,prompt_robustness,gemma3:1b,P4,90
reliability_resumable,prompt_robustness,gemma3:1b,P5,180
reliability_resumable,prompt_robustness,gemma3:1b,P6,108
reliability_resumable,prompt_robustness,gemma3:270m,P1,180
reliability_resumable,prompt_robustness,gemma3:270m,P2,180
reliability_resumable,prompt_robustness,gemma3:270m,P3,180
reliability_resumable,prompt_robustness,gemma3:270m,P4,90
reliability_resumable,prompt_robustness,gemma3:270m,P5,180
reliability_resumable,prompt_robustness,gemma3:270m,P6,108
reliability_resumable,prompt_robustness,llama3.1:8b,P1,180
reliability_resumable,prompt_robustness,llama3.1:8b,P2,180
reliability_resumable,prompt_robustness,llama3.1:8b,P3,180
reliability_resumable,prompt_robustness,llama3.1:8b,P4,90
reliability_resumable,prompt_robustness,llama3.1:8b,P5,180
reliability_resumable,prompt_robustness,llama3.1:8b,P6,108
reliability_resumable,ticker_masking,gemma3:1b,P1,54
reliability_resumable,ticker_masking,gemma3:1b,P2,54
reliability_resumable,ticker_masking,gemma3:1b,P3,54
reliability_resumable,ticker_masking,gemma3:1b,P4,54
reliability_resumable,ticker_masking,gemma3:1b,P5,54
reliability_resumable,ticker_masking,gemma3:1b,P6,54
reliability_resumable,ticker_masking,gemma3:270m,P1,54
reliability_resumable,ticker_masking,gemma3:270m,P2,54
reliability_resumable,ticker_masking,gemma3:270m,P3,54
reliability_resumable,ticker_masking,gemma3:270m,P4,54
reliability_resumable,ticker_masking,gemma3:270m,P5,54
reliability_resumable,ticker_masking,gemma3:270m,P6,54
reliability_resumable,ticker_masking,llama3.1:8b,P1,54
reliability_resumable,ticker_masking,llama3.1:8b,P2,54
reliability_resumable,ticker_masking,llama3.1:8b,P3,54
reliability_resumable,ticker_masking,llama3.1:8b,P4,54
reliability_resumable,ticker_masking,llama3.1:8b,P5,54
reliability_resumable,ticker_masking,llama3.1:8b,P6,54
